epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0487,0.84355,3.24208,1.24664,0.50673,0.60149,0.56286,0.44693,0.84985,1.93153,1.09777,0.000110706,0.000110706,0.000110706
2,139.648,0.68177,1.78349,1.07144,0.73268,0.70377,0.82862,0.67431,0.82349,1.28009,1.0618,0.000199757,0.000199757,0.000199757
3,195.454,0.65454,1.31339,1.05031,0.64946,0.76725,0.81627,0.63196,0.94221,1.28888,1.09637,0.00026683,0.00026683,0.00026683
4,251.737,0.62498,1.048,1.02454,0.77114,0.80531,0.87995,0.68112,0.97992,1.05066,1.14169,0.000234099,0.000234099,0.000234099
5,309.712,0.59978,0.88134,1.00112,0.82696,0.86732,0.91459,0.75529,0.77933,0.9202,1.01758,0.000201132,0.000201132,0.000201132
6,369.162,0.55572,0.71889,0.9758,0.83653,0.87927,0.93398,0.7524,0.87854,0.82891,1.05942,0.000168165,0.000168165,0.000168165
7,425.948,0.54409,0.61586,0.96074,0.88144,0.85896,0.93651,0.73916,0.91655,0.76193,1.08478,0.000135198,0.000135198,0.000135198
8,478.901,0.52121,0.52135,0.95115,0.88004,0.89942,0.94515,0.76878,0.85744,0.66627,1.0367,0.000102231,0.000102231,0.000102231
9,531.83,0.49823,0.45974,0.93298,0.88689,0.8924,0.95054,0.77811,0.8156,0.6152,1.02267,6.9264e-05,6.9264e-05,6.9264e-05
10,589.727,0.48448,0.41124,0.9189,0.87838,0.92056,0.95919,0.78578,0.82407,0.56595,1.0189,3.6297e-05,3.6297e-05,3.6297e-05
